cms_id,fyear,system,prov_type,own_type,cbsa,urban_rural
010040,2018,COMMUNITY HEALTH SYSTEMS,Short-Term,Private (For Profit),"Gadsden, AL",Urban
010045,2018,DCH HEALTH SYSTEM,Short-Term,Other,Rural Alabama,Rural
010044,2018,NORTH MISSISSIPPI MEDICAL CENTER SYSTEM,Short-Term,Private (Not For Profit),Rural Alabama,Rural
010046,2018,PRIME HEALTHCARE SERVICES,Short-Term,Private (For Profit),"Gadsden, AL",Urban
054028,2018,,Psychiatric Hospitals,Private (For Profit),"Los Angeles-Long Beach-Glendale, CA",Urban
010047,2017,IVY CREEK HEALTHCARE,Short-Term,Private (For Profit),Rural Alabama,Rural
010049,2018,COMMUNITY HEALTH SYSTEMS,Short-Term,Private (For Profit),Rural Alabama,Rural
010051,2018,,Short-Term,Local,Rural Alabama,Rural
010052,2018,IVY CREEK HEALTHCARE,Short-Term,Private (For Profit),Rural Alabama,Rural
010055,2018,COMMUNITY HEALTH SYSTEMS,Short-Term,Private (For Profit),"Dothan, AL",Urban
010056,2018,ASCENSION HEALTH,Short-Term,Private (Not For Profit),"Birmingham-Hoover, AL",Urban
493302,2018,,Childrens Hospitals,Private (Not For Profit),"Richmond, VA",Urban
010058,2018,,Short-Term,Hospital District or Authority,"Birmingham-Hoover, AL",Urban
010059,2018,HUNTSVILLE HOSPITAL HEALTH SYSTEM,Short-Term,Hospital District or Authority,"Decatur, AL",Urban
010061,2018,JACKSON COUNTY HEALTH CARE AUTHORITY,Short-Term,Hospital District or Authority,Rural Alabama,Rural
010062,2018,,Short-Term,Private (Not For Profit),"Dothan, AL",Urban
010065,2017,,Short-Term,Private (Not For Profit),Rural Alabama,Rural
010069,2017,,Short-Term,Hospital District or Authority,Rural Alabama,Rural
010073,2018,LHC GROUP,Short-Term,Hospital District or Authority,Rural Alabama,Rural
010078,2018,NORTHEAST ALABAMA REGIONAL MEDICAL CENTER HEALTH SYSTEM,Short-Term,Local,"Anniston-Oxford-Jacksonville, AL",Urban
010079,2018,HUNTSVILLE HOSPITAL HEALTH SYSTEM,Short-Term,Hospital District or Authority,"Huntsville, AL",Urban
010083,2018,COMMUNITY HEALTH SYSTEMS,Short-Term,Private (For Profit),"Daphne-Fairhope-Foley, AL",Urban
010085,2018,HUNTSVILLE HOSPITAL HEALTH SYSTEM,Short-Term,Hospital District or Authority,"Decatur, AL",Urban
010086,2017,CURAE HEALTH,Short-Term,Private (For Profit),Rural Alabama,Rural
010087,2018,UNIVERSITY OF SOUTH ALABAMA HEALTH SYSTEM,Short-Term,State,"Mobile, AL",Urban
010089,2017,TENET HEALTHCARE,Short-Term,Private (Not For Profit),"Birmingham-Hoover, AL",Urban
010090,2018,ASCENSION HEALTH,Short-Term,Church,"Mobile, AL",Urban
010091,2018,,Short-Term,Hospital District or Authority,Rural Alabama,Rural
010092,2018,DCH HEALTH SYSTEM,Short-Term,Hospital District or Authority,"Tuscaloosa, AL",Urban
010095,2018,,Short-Term,Hospital District or Authority,"Tuscaloosa, AL",Urban
010097,2017,IVY CREEK HEALTHCARE,Short-Term,State,"Montgomery, AL",Urban
010099,2018,LHC GROUP,Short-Term,Hospital District or Authority,Rural Alabama,Rural
010100,2018,INFIRMARY HEALTH SYSTEM,Short-Term,Private (Not For Profit),"Daphne-Fairhope-Foley, AL",Urban
010101,2017,TENET HEALTHCARE,Short-Term,Private (Not For Profit),Rural Alabama,Rural
010102,2018,,Short-Term,Other,Rural Alabama,Rural
010103,2017,TENET HEALTHCARE,Short-Term,Church,"Birmingham-Hoover, AL",Urban
010104,2018,COMMUNITY HEALTH SYSTEMS,Short-Term,Private (For Profit),"Birmingham-Hoover, AL",Urban
010108,2018,BAPTIST HEALTH,Short-Term,Hospital District or Authority,"Montgomery, AL",Urban
010109,2018,,Short-Term,Hospital District or Authority,"Tuscaloosa, AL",Urban
010110,2018,INMED GROUP  INC.,Short-Term,Private (For Profit),Rural Alabama,Rural
010112,2018,,Short-Term,Hospital District or Authority,Rural Alabama,Rural
010113,2018,INFIRMARY HEALTH SYSTEM,Short-Term,Private (Not For Profit),"Mobile, AL",Urban
010114,2018,UAB MEDICINE,Short-Term,Hospital District or Authority,"Birmingham-Hoover, AL",Urban
010118,2018,LIFEPOINT HEALTH,Short-Term,Private (For Profit),Rural Alabama,Rural
010120,2018,,Short-Term,Local,Rural Alabama,Rural
010125,2018,CURAE HEALTH,Short-Term,Church,Rural Alabama,Rural
010126,2018,,Short-Term,Federal,Rural Alabama,Rural
010128,2017,GILLIARD HEALTH SERVICES,Short-Term,Private (For Profit),Rural Alabama,Rural
010129,2018,INFIRMARY HEALTH SYSTEM,Short-Term,Private (Not For Profit),"Daphne-Fairhope-Foley, AL",Urban
010130,2018,ASCENSION HEALTH,Short-Term,Private (Not For Profit),"Birmingham-Hoover, AL",Urban
010131,2018,COMMUNITY HEALTH SYSTEMS,Short-Term,Private (For Profit),"Huntsville, AL",Urban
010138,2017,,Short-Term,Other,Rural Alabama,Rural
010139,2018,TENET HEALTHCARE,Short-Term,Private (For Profit),"Birmingham-Hoover, AL",Urban
010144,2018,SOUTHERN MEDICAL HEALTH SYSTEMS,Short-Term,Private (For Profit),"Mobile, AL",Urban
010146,2018,NORTHEAST ALABAMA REGIONAL MEDICAL CENTER HEALTH SYSTEM,Short-Term,Private (For Profit),"Anniston-Oxford-Jacksonville, AL",Urban
010148,2017,GILLIARD HEALTH SERVICES,Short-Term,Private (For Profit),Rural Alabama,Rural
010149,2018,BAPTIST HEALTH,Short-Term,Hospital District or Authority,"Montgomery, AL",Urban
010150,2018,QUORUM HEALTH CORPORATION,Short-Term,Private (For Profit),Rural Alabama,Rural
010157,2018,RCCH HEALTHCARE PARTNERS,Short-Term,Hospital District or Authority,"Florence-Muscle Shoals, AL",Urban
010158,2018,CURAE HEALTH,Short-Term,Private (For Profit),Rural Alabama,Rural
010164,2018,LHC GROUP,Short-Term,Other,Rural Alabama,Rural
010168,2017,,Short-Term,State,"Columbus, GA-AL",Urban
010169,2018,INFIRMARY HEALTH SYSTEM,Short-Term,Hospital District or Authority,Rural Alabama,Rural
010173,2018,ASCENSION HEALTH,Short-Term,Church,"Birmingham-Hoover, AL",Urban
011300,2018,,Critical Access Hospitals,Hospital District or Authority,Rural Alabama,Rural
011302,2018,HUNTSVILLE HOSPITAL HEALTH SYSTEM,Critical Access Hospitals,Hospital District or Authority,Rural Alabama,Rural
010172,2016,ACADIANA MANAGEMENT GROUP,Short-Term,Private (For Profit),"Huntsville, AL",Urban
011304,2017,RUSH HEALTH SYSTEMS,Critical Access Hospitals,Private (Not For Profit),Rural Alabama,Rural
011305,2018,ASCENSION HEALTH,Critical Access Hospitals,Private (Not For Profit),"Birmingham-Hoover, AL",Urban
012006,2018,INFIRMARY HEALTH SYSTEMS,Long-Term Hospitals,Private (Not For Profit),"Mobile, AL",Urban
012008,2018,SELECT MEDICAL CORPORATION,Long-Term Hospitals,Private (For Profit),"Birmingham-Hoover, AL",Urban
012009,2018,NOLAND HEALTH SERVICES,Long-Term Hospitals,Federal,"Birmingham-Hoover, AL",Urban
012010,2018,NOLAND HEALTH SERVICES,Long-Term Hospitals,Private (Not For Profit),"Dothan, AL",Urban
012011,2018,NOLAND HEALTH SERVICES,Long-Term Hospitals,Private (Not For Profit),"Anniston-Oxford-Jacksonville, AL",Urban
012012,2018,NOLAND HEALTH SERVICES,Long-Term Hospitals,Private (Not For Profit),"Tuscaloosa, AL",Urban
012013,2017,NOLAND HEALTH SERVICES,Long-Term Hospitals,Other,"Birmingham-Hoover, AL",Urban
012014,2018,ACADIANA MANAGEMENT GROUP,Long-Term Hospitals,Private (For Profit),"Huntsville, AL",Urban
013025,2018,HEALTHSOUTH,Rehabilitation Hospitals,Private (For Profit),"Birmingham-Hoover, AL",Urban
013028,2018,HEALTHSOUTH,Rehabilitation Hospitals,Private (For Profit),"Montgomery, AL",Urban
013029,2018,HEALTHSOUTH,Rehabilitation Hospitals,Private (For Profit),"Huntsville, AL",Urban
013030,2018,HEALTHSOUTH,Rehabilitation Hospitals,Private (For Profit),"Dothan, AL",Urban
013032,2018,HEALTHSOUTH,Rehabilitation Hospitals,Private (For Profit),"Gadsden, AL",Urban
013033,2018,ENCOMPASS HEALTH CORPORATION (FORMER,Rehabilitation Hospitals,Private (For Profit),"Columbus, GA-AL",Urban
012007,2018,NOLAND HEALTH SERVICES,Long-Term Hospitals,Federal,"Montgomery, AL",Urban
013300,2017,,Childrens Hospitals,Private (Not For Profit),"Birmingham-Hoover, AL",Urban
013301,2018,NAME  USA HOSPITALS,Childrens Hospitals,State,"Mobile, AL",Urban
014000,2018,UNIVERSAL HEALTH SERVICES,Psychiatric Hospitals,Private (For Profit),"Birmingham-Hoover, AL",Urban
014006,2017,,Psychiatric Hospitals,Private (For Profit),"Gadsden, AL",Urban
014007,2018,,Psychiatric Hospitals,State,"Tuscaloosa, AL",Urban
014012,2018,,Psychiatric Hospitals,State,"Tuscaloosa, AL",Urban
014009,2015,,Psychiatric Hospitals,State,"Decatur, AL",Urban
014014,2018,,Psychiatric Hospitals,Other,"Mobile, AL",Urban
014016,2018,USA HEALTHCARE-ALABAMA  LLC,Psychiatric Hospitals,Private (For Profit),Rural Alabama,Rural
014015,2018,PERIMETER HEALTHCARE,Psychiatric Hospitals,Private (For Profit),Rural Alabama,Rural
014013,2018,,Psychiatric Hospitals,Private (Not For Profit),"Dothan, AL",Urban
014017,2018,,Psychiatric Hospitals,Other,"Daphne-Fairhope-Foley, AL",Urban
014018,2017,AMERICAN HEALTH COMPANIES,Psychiatric Hospitals,Private (For Profit),"Huntsville, AL",Urban
020001,2017,PROVIDENCE ST JOSEPH HEALTH,Short-Term,Church,"Anchorage, AK",Urban
020006,2018,COMMUNITY HEALTH SYSTEMS,Short-Term,Other,"Anchorage, AK",Urban
020008,2018,,Short-Term,Local,Rural Alaska,Rural
020012,2018,FOUNDATION HEALTH PARTNERS,Short-Term,Private (Not For Profit),"Fairbanks, AK",Urban
020017,2018,HCA HEALTHCARE,Short-Term,Private (For Profit),"Anchorage, AK",Urban
020018,2017,INDIAN HEALTH SERVICE,Short-Term,Tribal,Rural Alaska,Rural
020024,2018,,Short-Term,Other,Rural Alaska,Rural
020026,2017,INDIAN HEALTH SERVICE,Short-Term,Federal,"Anchorage, AK",Urban
020027,2015,ALASKA AREA IHS,Short-Term,Private (Not For Profit),Rural Alaska,Rural
021301,2017,PROVIDENCE ST JOSEPH HEALTH,Critical Access Hospitals,Local,Rural Alaska,Rural
021303,2018,,Critical Access Hospitals,Local,Rural Alaska,Rural
021302,2017,PROVIDENCE ST JOSEPH HEALTH,Critical Access Hospitals,Local,Rural Alaska,Rural
021304,2018,,Critical Access Hospitals,Local,Rural Alaska,Rural
021305,2018,,Critical Access Hospitals,Local,Rural Alaska,Rural
054083,2017,,Psychiatric Hospitals,Private (Not For Profit),"Los Angeles-Long Beach-Glendale, CA",Urban
021306,2017,PROVIDENCE ST JOSEPH HEALTH,Critical Access Hospitals,Church,Rural Alaska,Rural
021307,2017,,Critical Access Hospitals,Local,Rural Alaska,Rural
021308,2018,NAS,Critical Access Hospitals,Tribal,Rural Alaska,Rural
021309,2018,INDIAN HEALTH SERVICE,Critical Access Hospitals,Private (Not For Profit),Rural Alaska,Rural
021310,2018,INDIAN HEALTH SERVICE,Critical Access Hospitals,Tribal,Rural Alaska,Rural
021311,2018,PEACEHEALTH,Critical Access Hospitals,Church,Rural Alaska,Rural
021312,2018,INDIAN HEALTH SERVICE,Critical Access Hospitals,Federal,Rural Alaska,Rural
021313,2018,,Critical Access Hospitals,Private (Not For Profit),Rural Alaska,Rural
021314,2018,INDIAN HEALTH SERVICE,Critical Access Hospitals,Private (Not For Profit),Rural Alaska,Rural
022001,2017,,Long-Term Hospitals,Private (For Profit),"Anchorage, AK",Urban
024001,2018,UNIVERSAL HEALTH SERVICES,Psychiatric Hospitals,Private (For Profit),"Anchorage, AK",Urban
024002,2018,,Psychiatric Hospitals,Local,"Anchorage, AK",Urban
030001,2017,TENET HEALTHCARE,Short-Term,Private (For Profit),"Phoenix-Mesa-Scottsdale, AZ",Urban
030002,2018,BANNER HEALTH,Short-Term,Other,"Phoenix-Mesa-Scottsdale, AZ",Urban
030006,2017,,Short-Term,Private (Not For Profit),"Tucson, AZ",Urban
030007,2018,NORTHERN ARIZONA HEALTHCARE,Short-Term,Private (Not For Profit),"Prescott, AZ",Urban
030010,2018,TENET HEALTHCARE,Short-Term,Private (Not For Profit),"Tucson, AZ",Urban
030011,2018,TENET HEALTHCARE,Short-Term,Other,"Tucson, AZ",Urban
030012,2018,YAVAPAI REGIONAL MEDICAL CENTER,Short-Term,Private (Not For Profit),"Prescott, AZ",Urban
030013,2018,,Short-Term,Private (Not For Profit),"Yuma, AZ",Urban
030014,2018,HONORHEALTH,Short-Term,Private (Not For Profit),"Phoenix-Mesa-Scottsdale, AZ",Urban
030016,2017,BANNER HEALTH,Short-Term,Other,"Phoenix-Mesa-Scottsdale, AZ",Urban
030022,2018,,Short-Term,Local,"Phoenix-Mesa-Scottsdale, AZ",Urban
030023,2018,NORTHERN ARIZONA HEALTHCARE,Short-Term,Private (Not For Profit),"Flagstaff, AZ",Urban
030024,2018,DIGNITY HEALTH,Short-Term,Church,"Phoenix-Mesa-Scottsdale, AZ",Urban
030030,2018,TENET HEALTHCARE,Short-Term,Private (For Profit),"Phoenix-Mesa-Scottsdale, AZ",Urban
030037,2018,IASIS HEALTHCARE,Short-Term,Private (For Profit),"Phoenix-Mesa-Scottsdale, AZ",Urban
030036,2018,DIGNITY HEALTH,Short-Term,Other,"Phoenix-Mesa-Scottsdale, AZ",Urban
030033,2018,BANNER HEALTH,Short-Term,Other,Rural Arizona,Rural
030038,2018,HONORHEALTH,Short-Term,Private (For Profit),"Phoenix-Mesa-Scottsdale, AZ",Urban
030043,2018,RCCH HEALTHCARE PARTNERS,Short-Term,Other,"Sierra Vista-Douglas, AZ",Urban
030061,2017,BANNER HEALTH,Short-Term,Other,"Phoenix-Mesa-Scottsdale, AZ",Urban
030055,2018,,Short-Term,Hospital District or Authority,"Lake Havasu City-Kingman, AZ",Urban
030062,2017,,Short-Term,Private (Not For Profit),Rural Arizona,Rural
030064,2017,BANNER HEALTH,Short-Term,Private (Not For Profit),"Tucson, AZ",Urban
030065,2018,BANNER HEALTH,Short-Term,Private (Not For Profit),"Phoenix-Mesa-Scottsdale, AZ",Urban
030068,2018,,Short-Term,Hospital District or Authority,Rural Arizona,Rural
030069,2018,LIFEPOINT HEALTH,Short-Term,Private (For Profit),"Lake Havasu City-Kingman, AZ",Urban
030071,2017,INDIAN HEALTH SERVICE,Short-Term,Federal,Rural Arizona,Rural
030074,2017,INDIAN HEALTH SERVICE,Short-Term,Tribal,"Tucson, AZ",Urban
030077,2017,INDIAN HEALTH SERVICE,Short-Term,Federal,Rural Arizona,Rural
030073,2017,INDIAN HEALTH SERVICE,Short-Term,Other,"Flagstaff, AZ",Urban
030078,2017,INDIAN HEALTH SERVICE,Short-Term,Federal,"Phoenix-Mesa-Scottsdale, AZ",Urban
030083,2018,TENET HEALTHCARE,Short-Term,Private (For Profit),"Phoenix-Mesa-Scottsdale, AZ",Urban
030085,2018,COMMUNITY HEALTH SYSTEMS,Short-Term,Private (For Profit),"Tucson, AZ",Urban
030084,2018,INDIAN HEALTH SERVICE,Short-Term,Federal,Rural Arizona,Rural
030087,2018,HONORHEALTH,Short-Term,Private (For Profit),"Phoenix-Mesa-Scottsdale, AZ",Urban
030088,2018,BANNER HEALTH,Short-Term,Private (Not For Profit),"Phoenix-Mesa-Scottsdale, AZ",Urban
030089,2018,BANNER HEALTH,Short-Term,Hospital District or Authority,"Phoenix-Mesa-Scottsdale, AZ",Urban
030092,2018,HONORHEALTH,Short-Term,Private (Not For Profit),"Phoenix-Mesa-Scottsdale, AZ",Urban
030093,2017,BANNER HEALTH,Short-Term,Private (Not For Profit),"Phoenix-Mesa-Scottsdale, AZ",Urban
030101,2018,COMMUNITY HEALTH SYSTEMS,Short-Term,Private (For Profit),"Lake Havasu City-Kingman, AZ",Urban
030094,2018,TENET HEALTHCARE,Short-Term,Private (For Profit),"Phoenix-Mesa-Scottsdale, AZ",Urban
030103,2017,MAYO CLINIC HEALTH SYSTEM,Short-Term,Private (Not For Profit),"Phoenix-Mesa-Scottsdale, AZ",Urban
030105,2018,BANNER HEALTH,Short-Term,Private (Not For Profit),"Phoenix-Mesa-Scottsdale, AZ",Urban
030107,2018,NATIONAL SURGICAL HEALTHCARE,Short-Term,Private (For Profit),"Phoenix-Mesa-Scottsdale, AZ",Urban
030108,2017,SURGICAL CARE AFFILIATES,Short-Term,Private (For Profit),"Phoenix-Mesa-Scottsdale, AZ",Urban
030110,2018,TENET HEALTHCARE,Short-Term,Private (For Profit),"Phoenix-Mesa-Scottsdale, AZ",Urban
030111,2017,BANNER HEALTH,Short-Term,Private (Not For Profit),"Tucson, AZ",Urban
030112,2018,DIGNITY HEALTH,Short-Term,Private (For Profit),"Phoenix-Mesa-Scottsdale, AZ",Urban
030113,2018,INDIAN HEALTH SERVICE,Short-Term,Federal,Rural Arizona,Rural
030114,2018,COMMUNITY HEALTH SYSTEMS,Short-Term,Private (For Profit),"Tucson, AZ",Urban
031309,2017,,Critical Access Hospitals,Private (Not For Profit),Rural Arizona,Rural
030115,2018,BANNER HEALTH,Short-Term,Private (Not For Profit),"Phoenix-Mesa-Scottsdale, AZ",Urban
030117,2017,LIFEPOINT HEALTH,Short-Term,Private (For Profit),"Lake Havasu City-Kingman, AZ",Urban
030118,2016,YRMC-WEST CAMPUS,Short-Term,Private (For Profit),"Prescott, AZ",Urban
030119,2018,DIGNITY HEALTH,Short-Term,Church,"Phoenix-Mesa-Scottsdale, AZ",Urban
030120,2017,NEW VISION HEALTH LLC,Short-Term,Private (For Profit),"Phoenix-Mesa-Scottsdale, AZ",Urban
030121,2018,IASIS HEALTHCARE,Short-Term,Private (For Profit),"Phoenix-Mesa-Scottsdale, AZ",Urban
030122,2018,BANNER HEALTH,Short-Term,Other,"Phoenix-Mesa-Scottsdale, AZ",Urban
030123,2018,HONORHEALTH,Short-Term,Private (For Profit),"Phoenix-Mesa-Scottsdale, AZ",Urban
030130,2017,BANNER HEALTH,Short-Term,Private (Not For Profit),"Phoenix-Mesa-Scottsdale, AZ",Urban
033303,2017,,Childrens Hospitals,Private (For Profit),"Phoenix-Mesa-Scottsdale, AZ",Urban
030131,2017,DIGNITY HEALTH,Short-Term,Private (Not For Profit),"Phoenix-Mesa-Scottsdale, AZ",Urban
030132,2017,NEW VISION HEALTH LLC,Short-Term,Private (For Profit),"Phoenix-Mesa-Scottsdale, AZ",Urban
030134,2017,BANNER HEALTH,Short-Term,Other,"Phoenix-Mesa-Scottsdale, AZ",Urban
030135,2015,,Short-Term,Private (For Profit),"Phoenix-Mesa-Scottsdale, AZ",Urban
031300,2018,,Critical Access Hospitals,Private (Not For Profit),"Phoenix-Mesa-Scottsdale, AZ",Urban
030136,2017,DIGNITY HEALTH,Short-Term,Private (For Profit),"Phoenix-Mesa-Scottsdale, AZ",Urban
031301,2018,,Critical Access Hospitals,Private (Not For Profit),"Sierra Vista-Douglas, AZ",Urban
030137,2017,,Short-Term,Private (For Profit),"Tucson, AZ",Urban
031303,2015,,Critical Access Hospitals,Private (Not For Profit),"Sierra Vista-Douglas, AZ",Urban
031302,2018,,Critical Access Hospitals,Hospital District or Authority,"Sierra Vista-Douglas, AZ",Urban
031304,2018,BANNER HEALTH,Critical Access Hospitals,Hospital District or Authority,"Flagstaff, AZ",Urban
031305,2018,INDIAN HEALTH SERVICE,Critical Access Hospitals,Tribal,Rural Arizona,Rural
031307,2018,INDIAN HEALTH SERVICE,Critical Access Hospitals,Federal,Rural Arizona,Rural
031308,2018,INDIAN HEALTH SERVICE,Critical Access Hospitals,Federal,"Phoenix-Mesa-Scottsdale, AZ",Urban
031311,2018,,Critical Access Hospitals,Private (Not For Profit),Rural Arizona,Rural
031312,2018,,Critical Access Hospitals,Private (Not For Profit),"Sierra Vista-Douglas, AZ",Urban
031313,2018,TENET HEALTHCARE,Critical Access Hospitals,Private (For Profit),Rural Arizona,Rural
031314,2017,,Critical Access Hospitals,Private (Not For Profit),Rural Arizona,Rural
031315,2017,,Critical Access Hospitals,Private (Not For Profit),Rural Arizona,Rural
031317,2018,,Critical Access Hospitals,Private (Not For Profit),Rural Arizona,Rural
032001,2018,SELECT MEDICAL CORPORATION,Long-Term Hospitals,Private (For Profit),"Phoenix-Mesa-Scottsdale, AZ",Urban
031318,2018,BANNER HEALTH SYSTEM,Critical Access Hospitals,Other,Rural Arizona,Rural
032000,2018,CURAHEALTH HOSPITALS LLC,Long-Term Hospitals,Private (For Profit),"Phoenix-Mesa-Scottsdale, AZ",Urban
032005,2018,SELECT MEDICAL CORPORATION,Long-Term Hospitals,Private (For Profit),"Phoenix-Mesa-Scottsdale, AZ",Urban
032006,2018,PROMISE HEALTHCARE  INC.,Long-Term Hospitals,Private (For Profit),"Phoenix-Mesa-Scottsdale, AZ",Urban
032002,2018,CURAHEALTH TUCSON LLC,Long-Term Hospitals,Private (For Profit),"Tucson, AZ",Urban
032004,2018,CORNERSTONE HEALTHCARE GROUP,Long-Term Hospitals,Private (For Profit),"Tucson, AZ",Urban
032007,2015,ACUITY HEALTHCARE,Long-Term Hospitals,Private (For Profit),"Phoenix-Mesa-Scottsdale, AZ",Urban
032008,2015,ACUITY HEALTHCARE,Long-Term Hospitals,Private (For Profit),"Phoenix-Mesa-Scottsdale, AZ",Urban
033028,2018,HEALTHSOUTH,Rehabilitation Hospitals,Private (For Profit),"Tucson, AZ",Urban
033032,2018,HEALTHSOUTH,Rehabilitation Hospitals,Private (For Profit),"Phoenix-Mesa-Scottsdale, AZ",Urban
033025,2018,HEALTHSOUTH,Rehabilitation Hospitals,Private (For Profit),"Phoenix-Mesa-Scottsdale, AZ",Urban
033029,2018,HEALTHSOUTH,Rehabilitation Hospitals,Private (For Profit),"Tucson, AZ",Urban
033034,2018,HEALTHSOUTH,Rehabilitation Hospitals,Private (For Profit),"Yuma, AZ",Urban
033036,2018,ERNEST HEALTH INC,Rehabilitation Hospitals,Private (For Profit),"Prescott, AZ",Urban
033037,2018,HEALTHSOUTH,Rehabilitation Hospitals,Private (For Profit),"Phoenix-Mesa-Scottsdale, AZ",Urban
033038,2018,HONORHEALTH,Rehabilitation Hospitals,Private (For Profit),"Phoenix-Mesa-Scottsdale, AZ",Urban
033039,2018,COBALT REHAB HOSPITALS,Rehabilitation Hospitals,Private (For Profit),"Phoenix-Mesa-Scottsdale, AZ",Urban
033040,2018,DIGNITY HEALTH,Rehabilitation Hospitals,Private (For Profit),"Phoenix-Mesa-Scottsdale, AZ",Urban
033041,2018,ERNEST HEALTH INC,Rehabilitation Hospitals,Private (For Profit),"Flagstaff, AZ",Urban
033301,2017,,Childrens Hospitals,Private (Not For Profit),"Phoenix-Mesa-Scottsdale, AZ",Urban
033302,2017,DIGNITY HEALTH,Childrens Hospitals,Private (Not For Profit),"Phoenix-Mesa-Scottsdale, AZ",Urban
034004,2018,BANNER HEALTH,Psychiatric Hospitals,Private (Not For Profit),"Phoenix-Mesa-Scottsdale, AZ",Urban
034013,2018,IASIS HEALTHCARE,Psychiatric Hospitals,Private (For Profit),"Phoenix-Mesa-Scottsdale, AZ",Urban
034020,2018,HAVEN BEHAVIORAL HEALTH CARE,Psychiatric Hospitals,Private (For Profit),"Phoenix-Mesa-Scottsdale, AZ",Urban
034021,2018,,Psychiatric Hospitals,State,"Phoenix-Mesa-Scottsdale, AZ",Urban
034022,2018,ACADIA HEALTHCARE,Psychiatric Hospitals,Private (For Profit),"Tucson, AZ",Urban
034023,2018,,Psychiatric Hospitals,Private (Not For Profit),"Flagstaff, AZ",Urban
034024,2018,SIGNATURE HEALTHCARE SVCS,Psychiatric Hospitals,Private (For Profit),"Phoenix-Mesa-Scottsdale, AZ",Urban
034025,2018,,Psychiatric Hospitals,Private (Not For Profit),"Prescott, AZ",Urban
034026,2018,UNIVERSAL HEALTH SERVICES,Psychiatric Hospitals,Other,"Phoenix-Mesa-Scottsdale, AZ",Urban
034027,2017,,Psychiatric Hospitals,Private (Not For Profit),Rural Arizona,Rural
034028,2018,SIGNATURE HEALTHCARE SVCS,Psychiatric Hospitals,Private (Not For Profit),"Phoenix-Mesa-Scottsdale, AZ",Urban
034029,2018,ACADIA HEALTHCARE COMPANY,Psychiatric Hospitals,Private (For Profit),"Phoenix-Mesa-Scottsdale, AZ",Urban
034030,2018,UNIVERSAL HEALTH SERVICES,Psychiatric Hospitals,Private (Not For Profit),"Tucson, AZ",Urban
034031,2018,UNIVERSAL HEALTH SERVICES,Psychiatric Hospitals,Other,"Phoenix-Mesa-Scottsdale, AZ",Urban
034032,2017,SPRINGSTONE,Psychiatric Hospitals,Private (For Profit),"Phoenix-Mesa-Scottsdale, AZ",Urban
034033,2018,CORNERSTONE HEALTHCARE GROUP,Psychiatric Hospitals,Private (For Profit),"Tucson, AZ",Urban
040001,2018,COMMUNITY HEALTH SYSTEMS,Short-Term,Other,"Fayetteville-Springdale-Rogers, AR-MO",Urban
040002,2018,,Short-Term,Local,Rural Arkansas,Rural
040004,2018,,Short-Term,Private (Not For Profit),"Fayetteville-Springdale-Rogers, AR-MO",Urban
