cms_id,fyear,system,prov_type,own_type,urban_rural
010099,2018,LHC GROUP,Short-Term,Hospital District or Authority,Rural
010100,2018,INFIRMARY HEALTH SYSTEM,Short-Term,Private (Not For Profit),Urban
010101,2017,TENET HEALTHCARE,Short-Term,Private (Not For Profit),Rural
010102,2018,,Short-Term,Other,Rural
010103,2017,TENET HEALTHCARE,Short-Term,Church,Urban
010104,2018,COMMUNITY HEALTH SYSTEMS,Short-Term,Private (For Profit),Urban
010108,2018,BAPTIST HEALTH,Short-Term,Hospital District or Authority,Urban
010109,2018,,Short-Term,Hospital District or Authority,Urban
010110,2018,INMED GROUP  INC.,Short-Term,Private (For Profit),Rural
010112,2018,,Short-Term,Hospital District or Authority,Rural
010113,2018,INFIRMARY HEALTH SYSTEM,Short-Term,Private (Not For Profit),Urban
010114,2018,UAB MEDICINE,Short-Term,Hospital District or Authority,Urban
010118,2018,LIFEPOINT HEALTH,Short-Term,Private (For Profit),Rural
010120,2018,,Short-Term,Local,Rural
010125,2018,CURAE HEALTH,Short-Term,Church,Rural
010126,2018,,Short-Term,Federal,Rural
010128,2017,GILLIARD HEALTH SERVICES,Short-Term,Private (For Profit),Rural
010129,2018,INFIRMARY HEALTH SYSTEM,Short-Term,Private (Not For Profit),Urban
010130,2018,ASCENSION HEALTH,Short-Term,Private (Not For Profit),Urban
010131,2018,COMMUNITY HEALTH SYSTEMS,Short-Term,Private (For Profit),Urban
010138,2017,,Short-Term,Other,Rural
010139,2018,TENET HEALTHCARE,Short-Term,Private (For Profit),Urban
010144,2018,SOUTHERN MEDICAL HEALTH SYSTEMS,Short-Term,Private (For Profit),Urban
010146,2018,NORTHEAST ALABAMA REGIONAL MEDICAL CENTER HEALTH SYSTEM,Short-Term,Private (For Profit),Urban
010148,2017,GILLIARD HEALTH SERVICES,Short-Term,Private (For Profit),Rural
010149,2018,BAPTIST HEALTH,Short-Term,Hospital District or Authority,Urban
010150,2018,QUORUM HEALTH CORPORATION,Short-Term,Private (For Profit),Rural
010157,2018,RCCH HEALTHCARE PARTNERS,Short-Term,Hospital District or Authority,Urban
010158,2018,CURAE HEALTH,Short-Term,Private (For Profit),Rural
010164,2018,LHC GROUP,Short-Term,Other,Rural
010168,2017,,Short-Term,State,Urban
010169,2018,INFIRMARY HEALTH SYSTEM,Short-Term,Hospital District or Authority,Rural
010173,2018,ASCENSION HEALTH,Short-Term,Church,Urban
011300,2018,,Critical Access Hospitals,Hospital District or Authority,Rural
011302,2018,HUNTSVILLE HOSPITAL HEALTH SYSTEM,Critical Access Hospitals,Hospital District or Authority,Rural
010172,2016,ACADIANA MANAGEMENT GROUP,Short-Term,Private (For Profit),Urban
011304,2017,RUSH HEALTH SYSTEMS,Critical Access Hospitals,Private (Not For Profit),Rural
011305,2018,ASCENSION HEALTH,Critical Access Hospitals,Private (Not For Profit),Urban
012006,2018,INFIRMARY HEALTH SYSTEMS,Long-Term Hospitals,Private (Not For Profit),Urban
012008,2018,SELECT MEDICAL CORPORATION,Long-Term Hospitals,Private (For Profit),Urban
012009,2018,NOLAND HEALTH SERVICES,Long-Term Hospitals,Federal,Urban
012010,2018,NOLAND HEALTH SERVICES,Long-Term Hospitals,Private (Not For Profit),Urban
012011,2018,NOLAND HEALTH SERVICES,Long-Term Hospitals,Private (Not For Profit),Urban
012012,2018,NOLAND HEALTH SERVICES,Long-Term Hospitals,Private (Not For Profit),Urban
012013,2017,NOLAND HEALTH SERVICES,Long-Term Hospitals,Other,Urban
012014,2018,ACADIANA MANAGEMENT GROUP,Long-Term Hospitals,Private (For Profit),Urban
013025,2018,HEALTHSOUTH,Rehabilitation Hospitals,Private (For Profit),Urban
013028,2018,HEALTHSOUTH,Rehabilitation Hospitals,Private (For Profit),Urban
013029,2018,HEALTHSOUTH,Rehabilitation Hospitals,Private (For Profit),Urban
013030,2018,HEALTHSOUTH,Rehabilitation Hospitals,Private (For Profit),Urban
013032,2018,HEALTHSOUTH,Rehabilitation Hospitals,Private (For Profit),Urban
013033,2018,ENCOMPASS HEALTH CORPORATION (FORMER,Rehabilitation Hospitals,Private (For Profit),Urban
012007,2018,NOLAND HEALTH SERVICES,Long-Term Hospitals,Federal,Urban
013300,2017,,Childrens Hospitals,Private (Not For Profit),Urban
013301,2018,NAME  USA HOSPITALS,Childrens Hospitals,State,Urban
014000,2018,UNIVERSAL HEALTH SERVICES,Psychiatric Hospitals,Private (For Profit),Urban
014006,2017,,Psychiatric Hospitals,Private (For Profit),Urban
014007,2018,,Psychiatric Hospitals,State,Urban
014012,2018,,Psychiatric Hospitals,State,Urban
014009,2015,,Psychiatric Hospitals,State,Urban
014014,2018,,Psychiatric Hospitals,Other,Urban
014016,2018,USA HEALTHCARE-ALABAMA  LLC,Psychiatric Hospitals,Private (For Profit),Rural
014015,2018,PERIMETER HEALTHCARE,Psychiatric Hospitals,Private (For Profit),Rural
014013,2018,,Psychiatric Hospitals,Private (Not For Profit),Urban
014017,2018,,Psychiatric Hospitals,Other,Urban
014018,2017,AMERICAN HEALTH COMPANIES,Psychiatric Hospitals,Private (For Profit),Urban
020001,2017,PROVIDENCE ST JOSEPH HEALTH,Short-Term,Church,Urban
020006,2018,COMMUNITY HEALTH SYSTEMS,Short-Term,Other,Urban
020008,2018,,Short-Term,Local,Rural
020012,2018,FOUNDATION HEALTH PARTNERS,Short-Term,Private (Not For Profit),Urban
020017,2018,HCA HEALTHCARE,Short-Term,Private (For Profit),Urban
020018,2017,INDIAN HEALTH SERVICE,Short-Term,Tribal,Rural
020024,2018,,Short-Term,Other,Rural
020026,2017,INDIAN HEALTH SERVICE,Short-Term,Federal,Urban
020027,2015,ALASKA AREA IHS,Short-Term,Private (Not For Profit),Rural
021301,2017,PROVIDENCE ST JOSEPH HEALTH,Critical Access Hospitals,Local,Rural
021303,2018,,Critical Access Hospitals,Local,Rural
021302,2017,PROVIDENCE ST JOSEPH HEALTH,Critical Access Hospitals,Local,Rural
021304,2018,,Critical Access Hospitals,Local,Rural
021305,2018,,Critical Access Hospitals,Local,Rural
054083,2017,,Psychiatric Hospitals,Private (Not For Profit),Urban
021306,2017,PROVIDENCE ST JOSEPH HEALTH,Critical Access Hospitals,Church,Rural
021307,2017,,Critical Access Hospitals,Local,Rural
021308,2018,NAS,Critical Access Hospitals,Tribal,Rural
021309,2018,INDIAN HEALTH SERVICE,Critical Access Hospitals,Private (Not For Profit),Rural
021310,2018,INDIAN HEALTH SERVICE,Critical Access Hospitals,Tribal,Rural
021311,2018,PEACEHEALTH,Critical Access Hospitals,Church,Rural
021312,2018,INDIAN HEALTH SERVICE,Critical Access Hospitals,Federal,Rural
021313,2018,,Critical Access Hospitals,Private (Not For Profit),Rural
021314,2018,INDIAN HEALTH SERVICE,Critical Access Hospitals,Private (Not For Profit),Rural
022001,2017,,Long-Term Hospitals,Private (For Profit),Urban
024001,2018,UNIVERSAL HEALTH SERVICES,Psychiatric Hospitals,Private (For Profit),Urban
024002,2018,,Psychiatric Hospitals,Local,Urban
030001,2017,TENET HEALTHCARE,Short-Term,Private (For Profit),Urban
030002,2018,BANNER HEALTH,Short-Term,Other,Urban
030006,2017,,Short-Term,Private (Not For Profit),Urban
030007,2018,NORTHERN ARIZONA HEALTHCARE,Short-Term,Private (Not For Profit),Urban
030010,2018,TENET HEALTHCARE,Short-Term,Private (Not For Profit),Urban
030011,2018,TENET HEALTHCARE,Short-Term,Other,Urban
030012,2018,YAVAPAI REGIONAL MEDICAL CENTER,Short-Term,Private (Not For Profit),Urban
030013,2018,,Short-Term,Private (Not For Profit),Urban
030014,2018,HONORHEALTH,Short-Term,Private (Not For Profit),Urban
030016,2017,BANNER HEALTH,Short-Term,Other,Urban
030022,2018,,Short-Term,Local,Urban
030023,2018,NORTHERN ARIZONA HEALTHCARE,Short-Term,Private (Not For Profit),Urban
030024,2018,DIGNITY HEALTH,Short-Term,Church,Urban
030030,2018,TENET HEALTHCARE,Short-Term,Private (For Profit),Urban
030037,2018,IASIS HEALTHCARE,Short-Term,Private (For Profit),Urban
030036,2018,DIGNITY HEALTH,Short-Term,Other,Urban
030033,2018,BANNER HEALTH,Short-Term,Other,Rural
030038,2018,HONORHEALTH,Short-Term,Private (For Profit),Urban
030043,2018,RCCH HEALTHCARE PARTNERS,Short-Term,Other,Urban
030061,2017,BANNER HEALTH,Short-Term,Other,Urban
030055,2018,,Short-Term,Hospital District or Authority,Urban
030062,2017,,Short-Term,Private (Not For Profit),Rural
030064,2017,BANNER HEALTH,Short-Term,Private (Not For Profit),Urban
030065,2018,BANNER HEALTH,Short-Term,Private (Not For Profit),Urban
030068,2018,,Short-Term,Hospital District or Authority,Rural
030069,2018,LIFEPOINT HEALTH,Short-Term,Private (For Profit),Urban
030071,2017,INDIAN HEALTH SERVICE,Short-Term,Federal,Rural
030074,2017,INDIAN HEALTH SERVICE,Short-Term,Tribal,Urban
030077,2017,INDIAN HEALTH SERVICE,Short-Term,Federal,Rural
030073,2017,INDIAN HEALTH SERVICE,Short-Term,Other,Urban
030078,2017,INDIAN HEALTH SERVICE,Short-Term,Federal,Urban
030083,2018,TENET HEALTHCARE,Short-Term,Private (For Profit),Urban
030085,2018,COMMUNITY HEALTH SYSTEMS,Short-Term,Private (For Profit),Urban
030084,2018,INDIAN HEALTH SERVICE,Short-Term,Federal,Rural
030087,2018,HONORHEALTH,Short-Term,Private (For Profit),Urban
030088,2018,BANNER HEALTH,Short-Term,Private (Not For Profit),Urban
030089,2018,BANNER HEALTH,Short-Term,Hospital District or Authority,Urban
030092,2018,HONORHEALTH,Short-Term,Private (Not For Profit),Urban
030093,2017,BANNER HEALTH,Short-Term,Private (Not For Profit),Urban
030101,2018,COMMUNITY HEALTH SYSTEMS,Short-Term,Private (For Profit),Urban
030094,2018,TENET HEALTHCARE,Short-Term,Private (For Profit),Urban
030103,2017,MAYO CLINIC HEALTH SYSTEM,Short-Term,Private (Not For Profit),Urban
030105,2018,BANNER HEALTH,Short-Term,Private (Not For Profit),Urban
030107,2018,NATIONAL SURGICAL HEALTHCARE,Short-Term,Private (For Profit),Urban
030108,2017,SURGICAL CARE AFFILIATES,Short-Term,Private (For Profit),Urban
030110,2018,TENET HEALTHCARE,Short-Term,Private (For Profit),Urban
030111,2017,BANNER HEALTH,Short-Term,Private (Not For Profit),Urban
030112,2018,DIGNITY HEALTH,Short-Term,Private (For Profit),Urban
030113,2018,INDIAN HEALTH SERVICE,Short-Term,Federal,Rural
030114,2018,COMMUNITY HEALTH SYSTEMS,Short-Term,Private (For Profit),Urban
031309,2017,,Critical Access Hospitals,Private (Not For Profit),Rural
030115,2018,BANNER HEALTH,Short-Term,Private (Not For Profit),Urban
030117,2017,LIFEPOINT HEALTH,Short-Term,Private (For Profit),Urban
030118,2016,YRMC-WEST CAMPUS,Short-Term,Private (For Profit),Urban
030119,2018,DIGNITY HEALTH,Short-Term,Church,Urban
030120,2017,NEW VISION HEALTH LLC,Short-Term,Private (For Profit),Urban
030121,2018,IASIS HEALTHCARE,Short-Term,Private (For Profit),Urban
030122,2018,BANNER HEALTH,Short-Term,Other,Urban
030123,2018,HONORHEALTH,Short-Term,Private (For Profit),Urban
030130,2017,BANNER HEALTH,Short-Term,Private (Not For Profit),Urban
033303,2017,,Childrens Hospitals,Private (For Profit),Urban
030131,2017,DIGNITY HEALTH,Short-Term,Private (Not For Profit),Urban
030132,2017,NEW VISION HEALTH LLC,Short-Term,Private (For Profit),Urban
030134,2017,BANNER HEALTH,Short-Term,Other,Urban
030135,2015,,Short-Term,Private (For Profit),Urban
031300,2018,,Critical Access Hospitals,Private (Not For Profit),Urban
030136,2017,DIGNITY HEALTH,Short-Term,Private (For Profit),Urban
031301,2018,,Critical Access Hospitals,Private (Not For Profit),Urban
030137,2017,,Short-Term,Private (For Profit),Urban
031303,2015,,Critical Access Hospitals,Private (Not For Profit),Urban
031302,2018,,Critical Access Hospitals,Hospital District or Authority,Urban
031304,2018,BANNER HEALTH,Critical Access Hospitals,Hospital District or Authority,Urban
031305,2018,INDIAN HEALTH SERVICE,Critical Access Hospitals,Tribal,Rural
031307,2018,INDIAN HEALTH SERVICE,Critical Access Hospitals,Federal,Rural
031308,2018,INDIAN HEALTH SERVICE,Critical Access Hospitals,Federal,Urban
031311,2018,,Critical Access Hospitals,Private (Not For Profit),Rural
031312,2018,,Critical Access Hospitals,Private (Not For Profit),Urban
031313,2018,TENET HEALTHCARE,Critical Access Hospitals,Private (For Profit),Rural
031314,2017,,Critical Access Hospitals,Private (Not For Profit),Rural
031315,2017,,Critical Access Hospitals,Private (Not For Profit),Rural
031317,2018,,Critical Access Hospitals,Private (Not For Profit),Rural
032001,2018,SELECT MEDICAL CORPORATION,Long-Term Hospitals,Private (For Profit),Urban
031318,2018,BANNER HEALTH SYSTEM,Critical Access Hospitals,Other,Rural
032000,2018,CURAHEALTH HOSPITALS LLC,Long-Term Hospitals,Private (For Profit),Urban
032005,2018,SELECT MEDICAL CORPORATION,Long-Term Hospitals,Private (For Profit),Urban
032006,2018,PROMISE HEALTHCARE  INC.,Long-Term Hospitals,Private (For Profit),Urban
032002,2018,CURAHEALTH TUCSON LLC,Long-Term Hospitals,Private (For Profit),Urban
032004,2018,CORNERSTONE HEALTHCARE GROUP,Long-Term Hospitals,Private (For Profit),Urban
032007,2015,ACUITY HEALTHCARE,Long-Term Hospitals,Private (For Profit),Urban
032008,2015,ACUITY HEALTHCARE,Long-Term Hospitals,Private (For Profit),Urban
033028,2018,HEALTHSOUTH,Rehabilitation Hospitals,Private (For Profit),Urban
033032,2018,HEALTHSOUTH,Rehabilitation Hospitals,Private (For Profit),Urban
033025,2018,HEALTHSOUTH,Rehabilitation Hospitals,Private (For Profit),Urban
033029,2018,HEALTHSOUTH,Rehabilitation Hospitals,Private (For Profit),Urban
033034,2018,HEALTHSOUTH,Rehabilitation Hospitals,Private (For Profit),Urban
033036,2018,ERNEST HEALTH INC,Rehabilitation Hospitals,Private (For Profit),Urban
033037,2018,HEALTHSOUTH,Rehabilitation Hospitals,Private (For Profit),Urban
033038,2018,HONORHEALTH,Rehabilitation Hospitals,Private (For Profit),Urban
033039,2018,COBALT REHAB HOSPITALS,Rehabilitation Hospitals,Private (For Profit),Urban
033040,2018,DIGNITY HEALTH,Rehabilitation Hospitals,Private (For Profit),Urban
033041,2018,ERNEST HEALTH INC,Rehabilitation Hospitals,Private (For Profit),Urban
033301,2017,,Childrens Hospitals,Private (Not For Profit),Urban
033302,2017,DIGNITY HEALTH,Childrens Hospitals,Private (Not For Profit),Urban
034004,2018,BANNER HEALTH,Psychiatric Hospitals,Private (Not For Profit),Urban
034013,2018,IASIS HEALTHCARE,Psychiatric Hospitals,Private (For Profit),Urban
034020,2018,HAVEN BEHAVIORAL HEALTH CARE,Psychiatric Hospitals,Private (For Profit),Urban
034021,2018,,Psychiatric Hospitals,State,Urban
034022,2018,ACADIA HEALTHCARE,Psychiatric Hospitals,Private (For Profit),Urban
034023,2018,,Psychiatric Hospitals,Private (Not For Profit),Urban
034024,2018,SIGNATURE HEALTHCARE SVCS,Psychiatric Hospitals,Private (For Profit),Urban
034025,2018,,Psychiatric Hospitals,Private (Not For Profit),Urban
034026,2018,UNIVERSAL HEALTH SERVICES,Psychiatric Hospitals,Other,Urban
034027,2017,,Psychiatric Hospitals,Private (Not For Profit),Rural
034028,2018,SIGNATURE HEALTHCARE SVCS,Psychiatric Hospitals,Private (Not For Profit),Urban
034029,2018,ACADIA HEALTHCARE COMPANY,Psychiatric Hospitals,Private (For Profit),Urban
034030,2018,UNIVERSAL HEALTH SERVICES,Psychiatric Hospitals,Private (Not For Profit),Urban
034031,2018,UNIVERSAL HEALTH SERVICES,Psychiatric Hospitals,Other,Urban
034032,2017,SPRINGSTONE,Psychiatric Hospitals,Private (For Profit),Urban
034033,2018,CORNERSTONE HEALTHCARE GROUP,Psychiatric Hospitals,Private (For Profit),Urban
040001,2018,COMMUNITY HEALTH SYSTEMS,Short-Term,Other,Urban
040002,2018,,Short-Term,Local,Rural
040004,2018,,Short-Term,Private (Not For Profit),Urban
040007,2018,CATHOLIC HEALTH INITIATIVES,Short-Term,Private (Not For Profit),Urban
040010,2018,MERCY,Short-Term,Church,Urban
040011,2018,,Short-Term,Private (Not For Profit),Rural
040014,2018,UNITY HEALTH,Short-Term,Private (Not For Profit),Rural
040015,2018,LHC GROUP,Short-Term,Local,Rural
040016,2018,,Short-Term,State,Urban
040017,2018,,Short-Term,Other,Rural
040018,2018,COMMUNITY HEALTH SYSTEMS,Short-Term,Private (For Profit),Urban
040019,2018,QUORUM HEALTH CORPORATION,Short-Term,Private (For Profit),Rural
040020,2018,ST BERNARDS HEALTHCARE,Short-Term,Private (Not For Profit),Urban
040022,2018,COMMUNITY HEALTH SYSTEMS,Short-Term,Private (For Profit),Urban
040026,2018,CATHOLIC HEALTH INITIATIVES,Short-Term,Church,Urban
040027,2018,,Short-Term,Private (Not For Profit),Rural
040029,2018,CATHOLIC HEALTH INITIATIVES,Short-Term,Private (Not For Profit),Urban
040036,2018,BAPTIST HEALTH,Short-Term,Private (Not For Profit),Urban
040039,2018,,Short-Term,Private (Not For Profit),Rural
040041,2018,RCCH HEALTHCARE PARTNERS,Short-Term,Private (For Profit),Rural
040047,2018,,Short-Term,Private (Not For Profit),Rural
040050,2018,,Short-Term,Private (Not For Profit),Rural
040051,2018,,Short-Term,Private (Not For Profit),Rural
040055,2018,COMMUNITY HEALTH SYSTEMS,Short-Term,Private (For Profit),Urban
040062,2018,MERCY,Short-Term,Private (Not For Profit),Urban
040067,2018,,Short-Term,Local,Rural
040069,2018,MISSISSIPPI COUNTY HOSPITAL SYSTEM,Short-Term,Other,Rural
040071,2018,LHC GROUP,Short-Term,Private (Not For Profit),Urban
040072,2018,BAPTIST HEALTH,Short-Term,Private (Not For Profit),Rural
040074,2018,ALLEGIANCE HEALTH MANAGEMENT,Short-Term,Private (For Profit),Urban
040076,2018,BAPTIST HEALTH,Short-Term,Private (Not For Profit),Rural
040078,2018,RCCH HEALTHCARE PARTNERS,Short-Term,Private (For Profit),Urban
040080,2015,,Short-Term,Private (For Profit),Rural
040084,2018,RCCH HEALTHCARE PARTNERS,Short-Term,Private (For Profit),Urban
040085,2018,QUORUM HEALTH CORPORATION,Short-Term,Private (For Profit),Rural
040088,2018,COMMUNITY HEALTH SYSTEMS,Short-Term,Private (For Profit),Rural
040114,2017,BAPTIST HEALTH,Short-Term,Private (Not For Profit),Urban
040118,2018,BAPTIST MEMORIAL HEALTH CARE CORPORATION,Short-Term,Private (Not For Profit),Urban
040119,2018,WHITE RIVER HEALTH SYSTEM,Short-Term,Private (Not For Profit),Rural
040132,2018,LHC GROUP,Short-Term,Private (Not For Profit),Urban
040134,2018,,Short-Term,Private (For Profit),Urban
040137,2018,CATHOLIC HEALTH INITIATIVES,Short-Term,Church,Urban
040147,2018,MEDICAL FACILITIES CORPORATION,Short-Term,Private (For Profit),Urban
040152,2018,COMMUNITY HEALTH SYSTEMS,Short-Term,Private (For Profit),Urban
040153,2018,IASIS HEALTHCARE,Short-Term,Private (For Profit),Rural
040154,2018,BAPTIST HEALTH,Short-Term,Private (Not For Profit),Urban
040155,2018,,Short-Term,Private (For Profit),Urban
041300,2018,MERCY,Critical Access Hospitals,Church,Rural
041302,2018,ALLEGIANCE HEALTH MANAGEMENT,Critical Access Hospitals,Private (For Profit),Rural
041303,2018,MERCY,Critical Access Hospitals,Private (Not For Profit),Rural
041308,2018,,Critical Access Hospitals,Private (Not For Profit),Rural
041304,2018,ALLEGIANCE HEALTH MANAGEMENT,Critical Access Hospitals,Private (For Profit),Rural
041305,2018,MERCY,Critical Access Hospitals,Private (Not For Profit),Rural
041306,2018,,Critical Access Hospitals,Private (Not For Profit),Rural
041307,2018,ST BERNARDS HEALTHCARE,Critical Access Hospitals,Private (Not For Profit),Rural
041309,2018,ST BERNARDS HEALTHCARE,Critical Access Hospitals,Local,Rural
041310,2018,WHITE RIVER HEALTH SYSTEM,Critical Access Hospitals,Private (Not For Profit),Rural
041311,2018,LHC GROUP,Critical Access Hospitals,Private (Not For Profit),Rural
041312,2017,BAPTIST HEALTH,Critical Access Hospitals,Private (Not For Profit),Rural
041313,2018,,Critical Access Hospitals,Private (Not For Profit),Rural
041314,2018,,Critical Access Hospitals,Private (Not For Profit),Rural
041316,2017,MISSISSIPPI COUNTY HOSPITAL SYSTEM,Critical Access Hospitals,Local,Rural
041317,2018,LHC GROUP,Critical Access Hospitals,Local,Rural
041318,2018,MERCY,Critical Access Hospitals,Private (Not For Profit),Rural
041319,2017,JCE HEALTHCARE,Critical Access Hospitals,Private (For Profit),Rural
041320,2018,,Critical Access Hospitals,Other,Urban
041321,2018,BAPTIST HEALTH,Critical Access Hospitals,Private (Not For Profit),Rural
041323,2018,,Critical Access Hospitals,Private (Not For Profit),Rural
041322,2018,,Critical Access Hospitals,Other,Rural
041324,2018,CATHOLIC HEALTH INITIATIVES,Critical Access Hospitals,Church,Rural
041326,2018,,Critical Access Hospitals,Private (Not For Profit),Rural
041327,2018,,Critical Access Hospitals,Private (Not For Profit),Rural
041328,2018,,Critical Access Hospitals,Private (Not For Profit),Rural
041329,2018,MERCY,Critical Access Hospitals,Church,Rural
041330,2018,,Critical Access Hospitals,Local,Rural
041331,2017,OZARKS COMMUNITY HOSPITAL HEALTH SYSTEM,Critical Access Hospitals,Private (For Profit),Urban
114013,2018,,Psychiatric Hospitals,State,Urban
042004,2018,CHRISTUS HEALTH,Long-Term Hospitals,Private (For Profit),Urban
042006,2018,SELECT MEDICAL CORPORATION,Long-Term Hospitals,Private (For Profit),Urban
042008,2018,CHRISTUS HEALTH,Long-Term Hospitals,Private (Not For Profit),Urban
042009,2018,SELECT MEDICAL CORPORATION,Long-Term Hospitals,Private (For Profit),Urban
042011,2018,,Long-Term Hospitals,Private (Not For Profit),Rural
042010,2018,CORNERSTONE HEALTHCARE GROUP,Long-Term Hospitals,Private (For Profit),Urban
042012,2018,BAPTIST HEALTH,Long-Term Hospitals,Private (Not For Profit),Urban
043026,2018,BAPTIST HEALTH,Rehabilitation Hospitals,Private (For Profit),Urban
043028,2018,HEALTHSOUTH,Rehabilitation Hospitals,Private (For Profit),Urban
043029,2018,HEALTHSOUTH,Rehabilitation Hospitals,Private (For Profit),Urban
043031,2018,CATHOLIC HEALTH INITIATIVES,Rehabilitation Hospitals,Private (For Profit),Urban
043033,2018,CATHOLIC HEALTH INITIATIVES,Rehabilitation Hospitals,Private (For Profit),Urban
043032,2018,HEALTHSOUTH,Rehabilitation Hospitals,Private (For Profit),Urban
043034,2018,,Rehabilitation Hospitals,Physician Ownership,Rural
043035,2018,HEALTHSOUTH,Rehabilitation Hospitals,Private (For Profit),Urban
043300,2018,ARKANSAS CHILDRENS INC HB0834,Childrens Hospitals,Private (Not For Profit),Urban
044004,2017,ACADIA HEALTHCARE,Psychiatric Hospitals,Private (For Profit),Urban
044005,2018,UNIVERSAL HEALTH SERVICES,Psychiatric Hospitals,Private (For Profit),Urban
044006,2017,ACADIA HEALTHCARE,Psychiatric Hospitals,Other,Urban
044007,2018,UNIVERSAL HEALTH SERVICES,Psychiatric Hospitals,Private (For Profit),Urban
044017,2018,,Psychiatric Hospitals,Private (Not For Profit),Urban
044019,2018,UNIVERSAL HEALTH SERVICES,Psychiatric Hospitals,Private (For Profit),Urban
050009,2018,PROVIDENCE ST JOSEPH HEALTH,Short-Term,Church,Urban
044011,2018,,Psychiatric Hospitals,State,Urban
044013,2017,UNIVERSAL HEALTH SERVICES,Psychiatric Hospitals,Private (For Profit),Urban
